,,,,,,,,,,,,,,,,,,,,,,,
,No,Bore Id,Sample id,Depth,Elv. Bore Hole,Elevation,NSPT,g (t/m3),gd (t/m3),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1,BM01 - BH355,DS-01,1.00,142.2,141.21,8,1.90,1.47,,,,,,,,,,,,,,
,2,BM01 - BH355,UDS-01,3.00,142.2,139.21,4,1.71,1.08,,,,,,,,,,,,,,
,3,BM01 - BH355,UDS-02,5.00,142.2,137.21,5,1.72,1.27,,,,,,,,,,,,,,
,4,BM01 - BH355,DS-02,7.00,142.2,135.21,12,1.64,0.97,,,,,,,,,,,,,,
,5,BM01 - BH355,DS-03,9.00,142.2,133.21,16,1.68,1.13,,,,,,,,,,,,,,
,6,BM02 - BH355,DS-01,1.00,139.5,138.53,23,1.73,1.17,,,,,,,,,,,,,,
,7,BM02 - BH355,UDS-01,3.00,139.5,136.53,6,1.72,1.20,,,,,,,,,,,,,,
,8,BM02 - BH355,UDS-02,5.00,139.5,134.53,8,1.78,1.21,,,,,,,,,,,,,,
,9,BM02 - BH355,UDS-03,7.00,139.5,132.53,9,1.67,1.08,,,,,,,,,,,,,,
,10,BM02 - BH355,UDS-04,9.00,139.5,130.53,8,1.64,1.04,,,,,,,,,,,,,,
,11,BM03 - BH355,UDS-01,1.00,134.4,133.37,3,1.71,1.22,,,,,,,,,,,,,,
,12,BM03 - BH355,UDS-02,3.00,134.4,131.37,4,1.58,1.17,,,,,,,,,,,,,,
,13,BM03 - BH355,UDS-03,5.00,134.4,129.37,8,1.66,1.10,,,,,,,,,,,,,,
,14,BM03 - BH355,UDS-04,7.00,134.4,127.37,10,1.54,1.00,,,,,,,,,,,,,,
,15,BM03 - BH355,DS-01,9.00,134.4,125.37,14,1.64,1.23,,,,,,,,,,,,,,
,16,BM04 - BH355,UDS-01,1.00,130.6,129.60,2,1.75,1.16,,,,,,,,,,,,,,
,17,BM04 - BH355,UDS-02,3.00,130.6,127.60,2,1.74,1.20,,,,,,,,,,,,,,
,18,BM04 - BH355,UDS-03,5.00,130.6,125.60,8,1.80,1.25,,,,,,,,,,,,,,
,19,BM04 - BH355,DS-01,7.00,130.6,123.60,15,1.89,1.39,,,,,,,,,,,,,,
,20,BM04 - BH355,DS-02,9.00,130.6,121.60,17,2.00,1.57,,,,,,,,,,,,,,
,21,BM05 - BH355,UDS-01,1.00,143.3,142.29,4,1.78,1.20,,,,,,,,,,,,,,
,22,BM05 - BH355,UDS-02,3.00,143.3,140.29,6,1.69,1.15,,,,,,,,,,,,,,
,23,BM05 - BH355,UDS-03,5.00,143.3,138.29,7,1.67,1.20,,,,,,,,,,,,,,
,24,BM05 - BH355,UDS-04,7.00,143.3,136.29,9,1.79,1.41,,,,,,,,,,,,,,
,25,BM05 - BH355,DS-01,9.00,143.3,134.29,12,1.89,1.31,,,,,,,,,,,,,,
,26,BM06 - BH355,UDS-01,1.00,137.7,136.74,4,1.73,1.23,,,,,,,,,,,,,,
,27,BM06 - BH355,UDS-02,3.00,137.7,134.74,5,1.75,1.24,,,,,,,,,,,,,,
,28,BM06 - BH355,UDS-03,6.00,137.7,131.74,9,1.80,1.38,,,,,,,,,,,,,,
,29,BM06 - BH355,UDS-04,8.00,137.7,129.74,12,1.84,1.44,,,,,,,,,,,,,,
,30,BM06 - BH355,DS-01,9.00,137.7,128.74,12,1.86,1.44,,,,,,,,,,,,,,
,31,BM07 - BH355,DS-01,2.00,133.3,131.26,17,1.80,1.20,,,,,,,,,,,,,,
,32,BM07 - BH355,DS-02,3.00,133.3,130.26,17,1.85,1.27,,,,,,,,,,,,,,
,33,BM07 - BH355,DS-03,5.00,133.3,128.26,16,1.79,1.32,,,,,,,,,,,,,,
,34,BM07 - BH355,DS-04,7.00,133.3,126.26,17,1.90,1.42,,,,,,,,,,,,,,
,35,BM07 - BH355,DS-05,9.00,133.3,124.26,19,1.88,1.39,,,,,,,,,,,,,,
